ID,Title,Keywords,Director,Cast,Genres,Vote Average
400535,Sicario: Day of the Soldado,"'corruption', 'cia', 'usa–mexico border', 'sequel', 'rescue', 'shootout', 'explosion', 'brutality', 'drugs', 'sign languages', 'cartel', 'neo-noir', 'mexican cartel'",Stefano Sollima,"'Benicio del Toro', 'Josh Brolin', 'Isabela Merced', 'Jeffrey Donovan', 'Manuel Garcia-Rulfo', 'Catherine Keener', 'Matthew Modine', 'Shea Whigham', 'Elijah Rodriguez', 'Howard Ferguson Jr.', 'David Castañeda', 'Jacqueline Torres', 'Raoul Max Trujillo', 'Bruno Bichir', 'Jake Picking', 'Arturo Maese Bernal', 'Faysal  Ahmed', 'Graham Beckel', 'Tenzin Marco-Taylor', 'Dan Davidson', 'Sherman Allen', 'Lourdes del Rio Garcia', 'Christopher Heyerdahl', 'Ian Bohen', 'J.D. Garfield', 'Ryan Begay', 'Diane Villegas', 'Ibrahim Renno', 'Alejandro de la Peña', 'Brian Reynolds', 'Frédéric North', 'Joseph A. Garcia', 'J.D. Marmion', 'Hector Dez', 'Jon Kristian Moore', 'Thang Khan Gin', 'Mang Khai', 'Zaw Tan', 'Mickey Dolan', 'Alex Cacho', 'Rick Vargas', 'Lloyd Voights', 'Rob Franco', 'Oscar Avila', 'Billy R. Sanchez', 'Gary Anthony Castro', 'Iliana Donatlán', 'Beth Bailey', 'Stafford Douglas', 'Nick Shakoour', 'Sakariya Ali', 'Alfredo Quiroz', 'Fernando Urquides', 'Tasha Ames', 'David Manzanares', 'Connor Skific', 'Jackamoe Buzzell', 'Christian Pedersen', 'Ryan Jason Cook', 'Chris Adams', 'Catherine Haun', 'Barrett James', 'Gonzalo Robles', 'Cassandra Rochelle Fetters', 'Tim Aydelott', 'Ruben Bugayong', 'Cruz Castillo', 'Narupornkamol Chaisang', 'Leedy Corbin', 'James Devoti', 'Lawrence Gilligan', 'Andrea Good', 'Alison Grainger', 'Johnnie Hector', 'DezBaa'', 'Alan Humphrey', 'Jose B. Martinez', 'Aaron Mastriani', 'Manny Rubio', 'Lyle Sandoval', 'Michael Slusher', 'Michael E. Stogner', 'Cheo Tapia', 'Sandra L. Velez', 'Tsailii Rogers', 'Jay Moore', 'Gregory Paul Valdez'","'Action', 'Crime', 'Thriller'",6.9
112355,La tua presenza nuda!,"'spain', 'psychological thriller', 'bathtub', 'expelled from school'",Andrea Bianchi,"'Mark Lester', 'Britt Ekland', 'Hardy Krüger', 'Lilli Palmer', 'Harry Andrews', 'Conchita Montes', 'Colette Giacobine'","'Horror', 'Drama', 'Thriller'",5.8
13053,Bolt,"'hamster', 'human animal relationship', 'talking dog', 'animal', 'cat vs dog', 'duringcreditsstinger', 'talking cat', 'pets', 'dog cat friendship', 'animal lead'",Chris Williams,"'John Travolta', 'Susie Essman', 'Miley Cyrus', 'Mark Walton', 'Greg Germann', 'Grey DeLisle', 'Diedrich Bader', 'Lino DiSalvo', 'Todd Cummings', 'Malcolm McDowell', 'Nick Swardson', 'James Lipton', 'Chloë Grace Moretz', 'Anne Lockhart', 'J.P. Manoux', 'Dan Fogelman', 'Randy Savage', 'Ronn Moss', 'Kari Wahlgren', 'Sean Donnellan', 'Tim Mertens', 'Brian Stepanek', 'Daran Norris', 'John DiMaggio', 'Jenny Lewis', 'Phil LaMarr', 'June Christopher', 'Christin Ciaccio Briggs', 'David Cowgill', 'Terri Douglas', 'Jackie Gonneau', 'Nathan Greno', 'Forrest Iwaszewski', 'Holly Kaneko', 'Daniel Kaz', 'Jeff Bennett', 'Dara McGarry', 'Scott Menville', 'Jonathan Nichols', 'Paul Pape', 'Lynwood Robinson', 'Karen Ann Ryan', 'Tara Strong', 'Pepper Sweeney', 'Joe Whyte', 'Chris Williams'","'Animation', 'Family', 'Adventure', 'Comedy'",6.499
346910,The Predator,"'predator', 'sequel', 'alien', 'creature', 'alien invasion', 'military'",Shane Black,"'Boyd Holbrook', 'Trevante Rhodes', 'Sterling K. Brown', 'Jacob Tremblay', 'Keegan-Michael Key', 'Olivia Munn', 'Thomas Jane', 'Alfie Allen', 'Augusto Aguilera', 'Jake Busey', 'Yvonne Strahovski', 'Brian A. Prince', 'Mike Dopud', 'Niall Matter', 'Javier Lacroix', 'Gabriel LaBelle', 'Nikolas Dukic', 'RJ Fetherstonhaugh', 'James S. Salisbury', 'Garry Chalk', 'Duncan Fraser', 'Emy Aneke', 'Darryl Scheelar', 'Fraser Aitcheson', 'Eduard Witzke', 'Jan Bos', 'Lochlyn Munro', 'Françoise Yip', 'Rhys Williams', 'Malcolm Masters', 'Harrison MacDonald', 'Sage Brocklebank', 'Coulton Jackson', 'Sean O. Roberts', 'Colin Corrigan', 'Anousha Alamian', 'Ryan Scramstad', 'Patrick Sabongui', 'J.C. Williams', 'Sean Kohnke', 'Juan Pacheco', 'Lars Grant', 'Byron Brisco', 'Fraser Corbett', 'Chad Bellamy', 'Peter Shinkoda', 'Aaron Craven'","'Science Fiction', 'Action', 'Adventure'",5.626
49519,The Croods,"'parent child relationship', 'stone age', 'daughter', 'father', 'prehistory', 'ancient world', 'family', 'cavemen', 'aftercreditsstinger', 'duringcreditsstinger', 'pets'",Chris Sanders,"'Nicolas Cage', 'Emma Stone', 'Ryan Reynolds', 'Catherine Keener', 'Cloris Leachman', 'Clark Duke', 'Chris Sanders', 'Randy Thom'","'Animation', 'Adventure', 'Family', 'Fantasy', 'Comedy', 'Action'",6.916
1271,300,"'narration', 'army', 'epic', 'blood splatter', 'based on comic', 'sword fight', 'gore', 'massacre', 'ancient world', 'based on graphic novel', 'ancient greece', 'warrior', 'ancient warfare', 'sparta greece', '5th century bc', 'war', 'male protagonist', 'bloody death', 'sparta', 'spartans', 'battle of thermopylae', 'god king', 'battle axe'",Zack Snyder,"'Gerard Butler', 'Lena Headey', 'Dominic West', 'David Wenham', 'Vincent Regan', 'Michael Fassbender', 'Tom Wisdom', 'Andrew Pleavin', 'Andrew Tiernan', 'Rodrigo Santoro', 'Giovani Cimmino', 'Stephen McHattie', 'Greg Kramer', 'Alex Ivanovici', 'Kelly Craig', 'Eli Snyder', 'Tyler Neitzel', 'Tim Connolly', 'Marie-Julie Rivest', 'Sebastian St. Germain', 'Peter Mensah', 'Arthur Holden', 'Michael Sinelnikoff', 'John Dunn-Hill', 'Dennis St John', 'Neil Napier', 'Dylan Smith', 'Maurizio Terrazzano', 'Robert Paradis', 'Kwasi Songui', 'Alexandra Beaton', 'Frédéric Smith', 'Loucas Minchillo', 'Nicholas Minchillo', 'Tom Rack', 'David Francis', 'James Bradford', 'Andrew Shaver', 'Robin Wilcock', 'Kent McQuaid', 'Marcel Jeannin', 'Jere Gillis', 'Jeremy Thibodeau', 'Tyrone Benskin', 'Robert Maillet', 'Patrick Sabongui', 'Leon Laderach', 'Dave Lapommeray', 'Vervi Mauricio', 'Charles Papasoff', 'Isabelle Champeau', 'Veronique-Natale Szalankiewicz', 'Maéva Nadon', 'David Thibodeau', 'David Schaap', 'Jean Michel Paré', 'Stewart Myiow', 'Andreanne Ross', 'Sara Giacalone', 'Ariadne Bourbonnière', 'Isabelle Fournel', 'Sandrine Merette-Attiow', 'Elisabeth Etienne', 'Danielle Hubbard', 'Ruan Vibegaard', 'Geneviève Guilbault', 'Bonnie Mak', 'Amélie Sorel', 'Caroline Aspirot', 'Gina Gagnon', 'Tania Trudel', 'Stéphanie Aubry', 'Mercedes Leggett', 'Stephania Gambaroff', 'Chanelle Lamothe', 'Sabrina-Jasmine Guilbault', 'Manny Cortez Tuazon', 'Cindy', 'Atif Y. Siddiqi', 'Camille Rizkallah', 'Trudi Hanley', 'Neon Cobran', 'Gary A. Hecker'","'Action', 'Adventure', 'War'",7.177
745391,Love in Taipei,'based on novel or book',Arvin Chen,"'Ashley Liao', 'Ross Butler', 'Nico Hiraga', 'Chelsea Zhang', 'Cindy Cheung', 'Chloe Fox', 'Janet Hsieh', 'Mason Lee'","'Romance', 'Comedy', 'Drama'",6.981
965244,攻殻機動隊 SAC_2045 持続可能戦争,"'edited from tv series', 'anime'",Kenji Kamiyama,"'Atsuko Tanaka', 'Osamu Saka', 'Akio Otsuka', 'Koichi Yamadera', 'Yutaka Nakano', 'Toru Okawa', 'Takashi Onozuka', 'Taro Yamaguchi', 'Sakiko Tamagawa', 'Megumi Han', 'Kenjiro Tsuda', 'Kaiji Soze', 'Shigeo Kiyama', 'Megumi Hayashibara'","'Animation', 'Action', 'Science Fiction'",7.179
2770,American Pie 2,"'summer', 'beach house', 'group of friends', 'tantra', 'superglue', 'sex comedy'",J.B. Rogers,"'Jason Biggs', 'Thomas Ian Nicholas', 'Chris Klein', 'Seann William Scott', 'Eddie Kaye Thomas', 'Alyson Hannigan', 'Shannon Elizabeth', 'Tara Reid', 'Mena Suvari', 'Natasha Lyonne', 'Chris Owen', 'Eugene Levy', 'Molly Cheek', 'Denise Faye', 'Lisa Arturo', 'John Cho', 'Justin Isfeld', 'Eli Marienthal', 'Casey Affleck', 'George Wyner', 'Steven Shenbaum', 'Matthew Peters', 'Joelle Carter', 'Matthew Frauman', 'Larry Drake', 'Lee Garlington', 'Tsianina Joelson', 'Bree Turner', 'Lacey Beeman', 'Lisa Gould', 'Brian Lester', 'Nigel Gibbs', 'Ernie Lively', 'Kevin Cooney', 'Marilyn Brett', 'Morgan Nagler', 'Jack Wallace', 'Jesse Heiman', 'JoAnna Garcia', 'Serah D'Laine', 'Nora Zehetner', 'David Smigelski', 'Luke Edwards', 'Adam Brody', 'Amanda Armato', 'Nancy Stone', 'Kevin Kilner', 'Cole Petersen', 'Paityn James', 'Brian Turk', 'Mike Erwin', 'Robert Peters', 'Amara Balthrop-Lewis', 'Jay Rossi', 'Joseph D. Reitman', 'Adam Herz', 'J.B. Rogers', 'Brett Shuttleworth', 'Amanda Wilmshurst', 'Devon Davidson', 'Daniel Spink', 'Tamia Richmond', 'Rachel Blasko', 'Laurie Reeves', 'Derrick Harper', 'Kelley Schneider', 'Dan Andreiu', 'Hallie Bird', 'Jane Bordeaux', 'Nicole Brunner', 'Christina Cindrich', 'Don ""Tex"" Clark', 'Curt Clendenin', 'Jennifer Coolidge', 'April Florio', 'Marc S. Gordon', 'Victoria Gray', 'Phil Hawn', 'Enrique Hernandez', 'Matt Hobbie', 'Spencer Kayden', 'Meagan Adele Lopez', 'Sandra Luesse', 'Christie McNew', 'Daniel Pipersky', 'Tara Rice', 'Marco Sanchez', 'Elaine Szupello', 'Jason Tatum', 'Tadpole Triplett', 'Clyde Tull', 'Robert Warnack', 'Bryan C. Watkins', 'Don Yesso', 'Steven Paul Zsenyuk'","'Comedy', 'Romance'",6.226
19994,Jennifer's Body,"'minnesota', 'high school', 'sexual murder', 'possession', 'gore', 'teenage girl', 'slumber party', 'demon', 'rock band', 'succubus', 'satanic ritual', 'candlelight vigil', 'duringcreditsstinger', 'woman director', 'virgin sacrifice', 'frenemies', 'bloodthirsty'",Karyn Kusama,"'Megan Fox', 'Amanda Seyfried', 'Johnny Simmons', 'Adam Brody', 'J.K. Simmons', 'Amy Sedaris', 'Kyle Gallner', 'Chris Pratt', 'Cynthia Stevenson', 'Sal Cortez', 'Ryan Levine', 'Juan Riedinger', 'Colin Askey', 'Juno Rinaldi', 'Josh Emerson', 'Nicole Leduc', 'Aman Johal', 'Dan Joffre', 'Candus Churchill', 'Carrie Genzel', 'Emma Gallello', 'Megan Charpentier', 'Jeremy Schuetze', 'Valerie Tian', 'Emily Tennant', 'Karissa Tynes', 'Eve Harlow', 'Michael Brock', 'Genevieve Buechner', 'Adrian Hough', 'Gabrielle Rose', 'Michael Bean', 'Bill Fagerbakke', 'Marilyn Norry', 'Cut Chemist', 'Zoe LaLiberté', 'Chelsey Smith', 'Whitney Chow', 'Michael Orstad', 'Ronnie Robinson', 'Ed Anders', 'Roxanne Wong', 'Diane Dutra', 'Maya Toews', 'Andrea Baker', 'Lisa Breitman', 'Cathy Cavadini', 'Lanei Chapman', 'Vicki Davis', 'Jeff Fischer', 'Aaron Fors', 'Barbara Harris', 'Caryn Johnson', 'Jeremy Maxwell', 'David Michie', 'Levi Nunez', 'Paige Pollack', 'David J. Randolph', 'Roger Craig Smith', 'Joel Swetow', 'Andreana Weiner', 'Lennon Wynn', 'Diablo Cody', 'Lance Henriksen', 'Dan Savoie'","'Horror', 'Comedy'",5.915
